ORDER_ID,SHIP_METHOD,ORDER_ON,DUE_DATE,customer_CUSTOMER_ID,SHIPPING_REMARKS
168,POSTAL,12.04.2023,22/05/2023,11,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue."
169,POSTAL,01.05.2023,20/12/2022,7,Suspendisse potenti. Nullam porttitor lacus at turpis.
170,AIR,07.08.2022,15/12/2022,35,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
171,POSTAL,26.04.2023,28/06/2023,28,In sagittis dui vel nisl. Duis ac nibh.
172,SEA,12.12.2022,16/12/2022,34,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
173,POSTAL,22.03.2023,24/05/2023,18,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
174,AIR,23.04.2023,10/06/2023,24,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
175,SEA,14.03.2023,23/05/2023,8,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.
176,AIR,11.07.2022,14/01/2023,23,Maecenas pulvinar lobortis est. Phasellus sit amet erat.
177,SEA,12.02.2023,10/08/2022,21,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
178,AIR,26.05.2023,19/06/2022,11,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
179,SEA,18.05.2023,27/11/2022,45,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
180,SEA,16.04.2023,10/07/2022,21,Donec semper sapien a libero.
181,SEA,05.12.2022,08/11/2022,31,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.
182,SEA,11.12.2022,10/01/2023,17,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.
183,AIR,31.05.2022,27/07/2022,8,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
184,POSTAL,19.05.2022,14/10/2022,16,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
185,SEA,29.05.2023,11/07/2022,25,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
186,SEA,08.07.2022,31/07/2022,11,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
187,SEA,20.04.2023,04/03/2023,31,Etiam justo. Etiam pretium iaculis justo.
188,POSTAL,15.11.2022,12/03/2023,36,Etiam vel augue. Vestibulum rutrum rutrum neque.
189,SEA,14.07.2022,30/11/2022,12,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
190,AIR,07.06.2022,01/03/2023,47,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.
191,POSTAL,28.05.2023,31/01/2023,31,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.
192,POSTAL,07.06.2022,06/11/2022,41,Aliquam sit amet diam in magna bibendum imperdiet.
193,SEA,05.12.2022,18/09/2022,1,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
194,SEA,24.05.2023,03/05/2023,21,Sed vel enim sit amet nunc viverra dapibus.
195,POSTAL,10.06.2022,10/01/2023,39,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
196,POSTAL,08.08.2022,19/07/2023,5,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
197,SEA,16.04.2023,20/04/2023,9,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio."
198,SEA,11.01.2023,27/11/2022,27,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
199,AIR,02.08.2022,17/01/2023,26,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
200,POSTAL,08.08.2022,12/06/2023,35,Aenean fermentum. Donec ut mauris eget massa tempor convallis.
201,POSTAL,22.05.2022,14/06/2023,26,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.
202,POSTAL,03.12.2022,16/12/2022,44,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
203,SEA,05.02.2023,27/03/2023,4,Sed ante. Vivamus tortor. Duis mattis egestas metus.
204,AIR,09.04.2023,06/01/2023,13,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
205,POSTAL,31.03.2023,28/07/2023,18,Suspendisse potenti.
206,POSTAL,20.02.2023,03/09/2022,9,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
207,SEA,26.07.2022,15/06/2023,11,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
208,AIR,30.04.2023,24/04/2023,19,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
209,POSTAL,13.12.2022,12/12/2022,32,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
210,POSTAL,28.01.2023,30/03/2023,36,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
211,POSTAL,10.09.2022,23/12/2022,17,In congue.
212,SEA,06.07.2022,10/10/2022,16,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
213,POSTAL,18.07.2022,10/08/2022,37,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
214,AIR,19.03.2023,04/09/2022,24,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
215,POSTAL,13.12.2022,17/07/2022,41,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
216,AIR,06.09.2022,13/11/2022,37,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
217,POSTAL,28.12.2022,01/10/2022,23,Integer ac leo. Pellentesque ultrices mattis odio.
218,POSTAL,01.07.2022,02/09/2022,30,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
219,AIR,28.03.2023,28/05/2023,13,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo."
220,POSTAL,04.06.2022,05/01/2023,45,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
221,AIR,05.07.2022,16/06/2022,50,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
222,AIR,27.08.2022,01/07/2022,24,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
223,SEA,29.06.2022,06/06/2023,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus."
224,POSTAL,25.05.2022,11/06/2022,19,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
225,AIR,08.10.2022,22/04/2023,31,Nulla mollis molestie lorem.
226,SEA,26.03.2023,08/08/2022,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.
227,SEA,09.10.2022,06/08/2022,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
228,SEA,30.01.2023,12/04/2023,29,Cras in purus eu magna vulputate luctus.
229,SEA,26.08.2022,07/09/2022,39,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
230,SEA,26.10.2022,26/10/2022,23,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
231,AIR,05.10.2022,02/11/2022,35,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
232,AIR,16.09.2022,08/07/2022,20,Vestibulum sed magna at nunc commodo placerat.
233,POSTAL,14.10.2022,08/01/2023,21,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.
234,SEA,29.08.2022,16/08/2022,41,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
235,POSTAL,02.08.2022,18/07/2022,48,Nulla nisl.
236,POSTAL,13.02.2023,31/08/2022,32,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
237,AIR,28.05.2022,06/05/2023,2,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
238,POSTAL,16.08.2022,15/12/2022,35,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
239,SEA,23.07.2022,21/10/2022,2,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
240,AIR,30.11.2022,25/12/2022,7,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
241,SEA,28.11.2022,02/04/2023,8,Nulla ut erat id mauris vulputate elementum.
242,SEA,04.06.2022,28/09/2022,50,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.
243,SEA,15.05.2023,16/02/2023,34,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.
244,POSTAL,09.03.2023,01/06/2023,49,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
245,SEA,18.10.2022,07/02/2023,38,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.
246,SEA,27.09.2022,25/11/2022,5,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
247,SEA,16.09.2022,23/11/2022,26,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum."
248,POSTAL,01.08.2022,02/09/2022,14,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus."
249,AIR,28.09.2022,13/03/2023,18,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat."
250,SEA,06.04.2023,17/05/2023,42,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
251,SEA,07.04.2023,11/02/2023,26,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
252,SEA,02.05.2023,09/07/2022,39,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.
253,SEA,04.05.2023,25/03/2023,17,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
254,POSTAL,02.01.2023,18/06/2023,15,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
255,POSTAL,22.04.2023,23/11/2022,17,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis."
256,POSTAL,17.10.2022,24/09/2022,10,In hac habitasse platea dictumst. Etiam faucibus cursus urna.
257,SEA,04.06.2022,04/11/2022,33,Morbi non quam nec dui luctus rutrum. Nulla tellus.
258,POSTAL,18.03.2023,26/09/2022,36,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
259,AIR,02.12.2022,22/12/2022,45,Nulla mollis molestie lorem. Quisque ut erat.
260,POSTAL,03.06.2022,17/07/2022,44,Quisque ut erat.
261,SEA,11.11.2022,28/05/2023,1,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
262,AIR,14.09.2022,13/01/2023,46,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
263,POSTAL,28.03.2023,26/01/2023,14,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
264,SEA,09.01.2023,30/08/2022,5,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
265,POSTAL,02.05.2023,26/06/2022,16,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
266,AIR,31.10.2022,04/07/2022,40,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
267,POSTAL,15.03.2023,16/03/2023,39,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
268,POSTAL,21.02.2023,18/11/2022,40,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
269,AIR,20.10.2022,03/07/2022,27,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum."
270,POSTAL,29.11.2022,06/07/2023,12,In hac habitasse platea dictumst.
271,SEA,16.01.2023,22/12/2022,40,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
272,SEA,24.01.2023,22/02/2023,2,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.
273,POSTAL,27.07.2022,03/05/2023,21,Maecenas ut massa quis augue luctus tincidunt.
274,POSTAL,06.05.2023,04/07/2023,46,Phasellus in felis.
275,AIR,15.04.2023,01/12/2022,8,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
276,POSTAL,03.03.2023,18/06/2023,4,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
277,AIR,26.09.2022,22/07/2023,43,Vestibulum rutrum rutrum neque.
278,AIR,15.07.2022,02/06/2023,10,Suspendisse potenti. In eleifend quam a odio.
279,SEA,29.09.2022,06/04/2023,41,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
280,AIR,29.08.2022,06/11/2022,30,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
281,POSTAL,24.06.2022,28/07/2023,42,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.
282,AIR,28.10.2022,26/10/2022,2,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
283,AIR,24.02.2023,24/08/2022,25,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
284,AIR,10.03.2023,14/11/2022,38,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
285,POSTAL,07.12.2022,24/07/2023,17,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
286,SEA,01.07.2022,16/11/2022,6,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat."
287,AIR,11.08.2022,24/02/2023,34,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
288,AIR,12.08.2022,29/11/2022,9,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
289,SEA,06.12.2022,22/08/2022,40,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.
290,POSTAL,08.04.2023,20/07/2023,28,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
291,SEA,18.01.2023,24/09/2022,22,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
292,AIR,09.10.2022,26/01/2023,41,Fusce consequat.
293,POSTAL,27.02.2023,08/12/2022,21,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
294,SEA,14.06.2022,04/10/2022,26,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
295,AIR,19.03.2023,25/01/2023,23,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis."
296,AIR,17.01.2023,03/01/2023,41,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
297,SEA,11.03.2023,11/08/2022,17,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
298,SEA,05.09.2022,28/01/2023,15,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
299,POSTAL,03.11.2022,21/10/2022,36,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
300,POSTAL,28.06.2022,28/12/2022,5,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
301,SEA,07.11.2022,02/05/2023,30,Proin eu mi. Nulla ac enim.
302,AIR,28.09.2022,24/01/2023,20,Nunc rhoncus dui vel sem.
303,POSTAL,04.02.2023,29/08/2022,45,"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
304,SEA,27.03.2023,06/05/2023,1,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
305,POSTAL,13.09.2022,01/05/2023,44,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.
306,POSTAL,17.04.2023,28/07/2023,11,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
307,SEA,14.11.2022,07/12/2022,6,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
308,AIR,14.11.2022,10/06/2023,24,Aenean lectus. Pellentesque eget nunc.
309,AIR,11.12.2022,24/04/2023,45,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
310,SEA,06.07.2022,28/01/2023,27,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
311,POSTAL,25.06.2022,26/08/2022,22,Donec ut mauris eget massa tempor convallis.
312,POSTAL,03.07.2022,27/01/2023,18,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
313,SEA,12.04.2023,18/07/2023,11,Nulla ac enim.
314,POSTAL,10.06.2022,07/02/2023,4,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
315,POSTAL,25.04.2023,01/09/2022,32,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.
316,POSTAL,30.05.2023,19/06/2022,46,Maecenas ut massa quis augue luctus tincidunt.
317,AIR,08.10.2022,24/12/2022,30,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.
318,SEA,14.04.2023,27/10/2022,9,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor."
319,SEA,01.02.2023,11/08/2022,16,Proin risus.
320,AIR,17.09.2022,17/07/2023,8,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.
321,POSTAL,22.05.2022,06/06/2022,8,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
322,AIR,25.11.2022,15/02/2023,27,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
323,POSTAL,25.12.2022,29/03/2023,11,Proin eu mi. Nulla ac enim.
324,AIR,12.09.2022,08/06/2023,39,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.
325,POSTAL,26.05.2022,08/01/2023,2,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla."
326,POSTAL,27.06.2022,24/07/2023,34,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
327,POSTAL,08.11.2022,16/05/2023,8,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
328,SEA,18.03.2023,22/10/2022,8,Nulla ac enim.
329,POSTAL,22.11.2022,15/06/2023,15,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
330,SEA,07.06.2022,20/01/2023,2,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
331,SEA,14.11.2022,29/09/2022,2,Nam nulla.
332,SEA,26.05.2022,06/02/2023,15,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
333,POSTAL,27.05.2022,23/04/2023,8,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
334,AIR,04.08.2022,16/12/2022,38,Proin risus.
335,POSTAL,02.09.2022,14/11/2022,12,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
336,AIR,24.02.2023,06/12/2022,11,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat."
337,SEA,13.04.2023,23/01/2023,20,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat."
338,POSTAL,01.03.2023,16/05/2023,18,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
